"H(Key)","N de Colisoes em H(Key)"
"0","10000"
"1","0"
"2","0"
"3","5822"
"4","2634"
"5","0"
"6","3088"
"7","3188"
"8","1040"
"9","4228"
"10","0"
"11","1088"
"12","8912"
"13","0"
"14","0"
"15","6376"
"16","2080"
"17","0"
"18","5412"
"19","720"
"20","3509"
"21","1903"
"22","0"
"23","2177"
"24","2051"
"25","5772"
"26","0"
"27","272"
"28","8184"
"29","0"
"30","0"
"31","7384"
"32","4160"
"33","0"
"34","0"
"35","4055"
"36","173"
"37","7315"
"38","0"
"39","1441"
"40","7016"
"41","0"
"42","0"
"43","9307"
"44","693"
"45","0"
"46","4228"
"47","126"
"48","4103"
"49","0"
"50","3087"
"51","2911"
"52","1317"
"53","4228"
"54","0"
"55","544"
"56","9456"
"57","0"
"58","0"
"59","5751"
"60","2705"
"61","0"
"62","3088"
"63","136"
"64","4092"
"65","4228"
"66","0"
"67","2028"
"68","7972"
"69","0"
"70","0"
"71","8110"
"72","346"
"73","0"
"74","0"
"75","8771"
"76","2773"
"77","0"
"78","0"
"79","2878"
"80","1350"
"81","5772"
"82","0"
"83","1014"
"84","7442"
"85","0"
"86","0"
"87","10158"
"88","1386"
"89","0"
"90","0"
"91","506"
"92","3722"
"93","7315"
"94","0"
"95","253"
"96","8204"
"97","0"
"98","0"
"99","0"
"100","10000"
"101","0"
"102","0"
"103","5822"
"104","2634"
"105","0"
"106","3088"
"107","3188"
"108","1040"
"109","4228"
"110","0"
"111","1089"
"112","8911"
"113","0"
"114","0"
"115","6377"
"116","2080"
"117","0"
"118","5413"
"119","721"
"120","3507"
"121","1902"
"122","0"
"123","2177"
"124","2052"
"125","5771"
"126","0"
"127","272"
"128","8184"
"129","0"
"130","0"
"131","7384"
"132","4160"
"133","0"
"134","0"
"135","4055"
"136","173"
"137","7316"
"138","0"
"139","1437"
"140","7019"
"141","0"
"142","0"
"143","9307"
"144","693"
"145","0"
"146","4228"
"147","127"
"148","4101"
"149","0"
"150","3088"
"151","2911"
"152","1317"
"153","4228"
"154","0"
"155","545"
"156","9455"
"157","0"
"158","0"
"159","5752"
"160","2704"
"161","0"
"162","3087"
"163","136"
"164","4092"
"165","4229"
"166","0"
"167","2027"
"168","7973"
"169","0"
"170","0"
"171","8110"
"172","347"
"173","0"
"174","0"
"175","8771"
"176","2772"
"177","0"
"178","0"
"179","2874"
"180","1354"
"181","5772"
"182","0"
"183","1013"
"184","7443"
"185","0"
"186","0"
"187","10158"
"188","1386"
"189","0"
"190","0"
"191","507"
"192","3721"
"193","7316"
"194","0"
"195","254"
"196","8202"
"197","0"
"198","0"
"199","0"
