"H(Key)","N de Colisoes em H(Key)"
"0","7227"
"1","1323"
"2","439"
"3","4843"
"4","1269"
"5","492"
"6","6957"
"7","1528"
"8","511"
"9","4583"
"10","1527"
"11","438"
"12","7010"
"13","441"
"14","1529"
"15","4583"
"16","510"
"17","1525"
"18","6956"
"19","494"
"20","1271"
"21","4840"
"22","442"
"23","1319"
"24","441"
"25","7229"
"26","1320"
"27","443"
"28","4842"
"29","1270"
"30","492"
"31","6958"
"32","1528"
"33","511"
"34","4579"
"35","1527"
"36","438"
"37","7013"
"38","440"
"39","1531"
"40","4579"
"41","510"
"42","1525"
"43","6958"
"44","489"
"45","1277"
"46","4838"
"47","443"
"48","1320"
"49","442"
"50","7228"
"51","1320"
"52","445"
"53","4835"
"54","1276"
"55","490"
"56","6959"
"57","1527"
"58","511"
"59","4577"
"60","1530"
"61","440"
"62","7009"
"63","440"
"64","1530"
"65","4582"
"66","510"
"67","1528"
"68","6954"
"69","490"
"70","1274"
"71","4840"
"72","441"
"73","1322"
"74","443"
"75","7229"
"76","1321"
"77","440"
"78","4838"
"79","1274"
"80","492"
"81","6954"
"82","1528"
"83","514"
"84","4578"
"85","1531"
"86","440"
"87","7007"
"88","441"
"89","1527"
"90","4585"
"91","506"
"92","1532"
"93","6952"
"94","495"
"95","1272"
"96","4841"
"97","439"
"98","1325"
"99","440"
"100","7229"
"101","1317"
"102","440"
"103","4842"
"104","1277"
"105","492"
"106","6952"
"107","1529"
"108","508"
"109","4583"
"110","1527"
"111","443"
"112","7003"
"113","444"
"114","1525"
"115","4587"
"116","508"
"117","1529"
"118","6951"
"119","493"
"120","1273"
"121","4843"
"122","441"
"123","1324"
"124","440"
"125","7227"
"126","1318"
"127","440"
"128","4840"
"129","1276"
"130","491"
"131","6955"
"132","1527"
"133","510"
"134","4582"
"135","1530"
"136","443"
"137","7004"
"138","442"
"139","1525"
"140","4586"
"141","511"
"142","1530"
"143","6948"
"144","493"
"145","1271"
"146","4845"
"147","442"
"148","1321"
"149","441"
"150","7226"
"151","1321"
"152","440"
"153","4844"
"154","1272"
"155","493"
"156","6953"
"157","1528"
"158","510"
"159","4583"
"160","1527"
"161","441"
"162","7006"
"163","440"
"164","1529"
"165","4586"
"166","510"
"167","1528"
"168","6949"
"169","491"
"170","1277"
"171","4841"
"172","444"
"173","1321"
"174","440"
"175","7223"
"176","1323"
"177","441"
"178","4845"
"179","1271"
"180","492"
"181","6954"
"182","1530"
"183","507"
"184","4584"
"185","1527"
"186","443"
"187","7002"
"188","444"
"189","1530"
"190","4582"
"191","513"
"192","1525"
"193","6951"
"194","491"
"195","1277"
"196","4839"
"197","446"
"198","1318"
"199","442"
